t_s,fps,frame_ms_ema,fixed_ticks,meshed,dirty,visible_unready,rss_mb,cam_x,cam_y,cam_z,focus_x,focus_y,focus_z
64.89,60.22,16.60,1297,1016,0,584,543.1,45.8,75.7,-28.2,19.5,41.3,12.4
65.89,71.73,13.94,1317,1016,0,584,543.1,43.6,70.2,-29.4,19.2,35.2,12.9
66.91,70.14,14.26,1338,1016,0,664,545.8,39.9,93.2,-26.9,34.1,56.3,22.8
67.91,60.29,16.59,1358,1016,0,851,545.8,30.4,121.2,2.0,63.6,80.1,42.4
68.92,60.00,16.67,1378,1016,0,977,545.8,49.1,150.2,79.4,103.3,103.3,68.6
69.92,69.11,14.47,1398,1016,0,1017,545.8,136.3,175.7,154.3,146.9,121.9,97.4
70.94,59.95,16.68,1418,1016,0,968,545.8,236.6,186.6,160.2,188.1,126.0,124.7
71.97,240.49,4.16,1439,1016,0,788,547.1,281.4,192.6,128.5,222.9,126.0,147.7
72.98,240.04,4.17,1459,1016,0,685,547.1,283.1,196.4,112.9,244.3,126.0,161.9
73.98,239.65,4.17,1479,1016,0,655,547.1,279.9,197.2,110.5,248.0,126.0,164.2
74.98,239.35,4.18,1499,1016,0,713,547.1,266.1,193.4,101.4,239.8,126.0,153.4
75.99,240.68,4.15,1519,1016,0,792,547.1,239.9,185.7,85.3,223.4,126.0,132.8
76.99,240.34,4.16,1539,1016,0,890,547.6,208.6,175.1,66.6,202.0,126.0,106.0
77.99,241.06,4.15,1559,1016,0,947,547.6,178.2,154.5,47.8,178.8,117.4,76.8
79.00,240.41,4.16,1579,1016,0,869,547.6,152.8,120.9,30.3,156.6,95.8,48.8
80.00,240.77,4.15,1599,1016,0,784,547.6,134.6,86.0,15.6,138.3,71.1,25.8
81.00,240.20,4.16,1620,1016,0,758,547.6,124.4,63.1,6.2,126.8,55.0,11.5
82.00,241.41,4.14,1640,1016,0,740,547.7,124.1,38.6,7.7,124.5,37.4,8.5
83.00,238.66,4.19,1660,1016,0,740,547.7,121.9,52.7,4.0,124.5,46.2,8.5
84.01,241.62,4.14,1680,1016,0,740,547.7,123.1,55.2,6.6,124.5,52.7,8.5
85.01,240.68,4.15,1700,1016,0,740,547.7,123.7,56.9,7.7,124.5,55.9,8.5
86.01,240.89,4.15,1720,1016,0,740,547.7,123.3,56.3,7.6,124.5,55.3,8.5
87.01,239.68,4.17,1740,1016,0,740,548.3,121.4,52.8,6.8,124.5,51.0,8.5
88.02,240.47,4.16,1760,1016,0,740,548.3,119.9,45.5,6.6,124.5,43.6,8.5
89.02,240.05,4.17,1780,1016,0,740,548.3,123.1,34.7,8.0,124.5,34.3,8.5
90.02,240.43,4.16,1800,1016,0,740,548.3,121.9,61.7,7.8,124.0,61.0,8.5
91.02,240.43,4.16,1820,1016,0,739,548.3,115.7,66.6,7.7,117.6,66.0,8.0
92.02,240.17,4.16,1840,1016,0,742,548.9,90.9,75.0,8.4,105.7,70.0,8.0
93.03,239.13,4.18,1860,1016,0,734,548.9,73.6,68.0,13.2,90.4,61.7,8.0
94.03,241.99,4.13,1880,1016,0,716,548.9,56.8,72.5,19.6,73.7,64.5,8.0
95.03,240.16,4.16,1900,1016,0,669,548.9,43.1,72.3,26.1,57.9,62.7,8.0
96.04,241.61,4.14,1920,1016,0,645,548.9,33.7,67.5,31.1,44.9,56.5,8.0
97.04,240.42,4.16,1940,1016,0,617,549.1,28.7,58.9,33.8,37.0,46.9,8.0
98.04,242.41,4.13,1960,1016,0,613,549.1,28.1,56.8,34.3,35.5,44.5,8.0
99.05,241.58,4.14,1980,1016,0,613,549.1,30.2,67.6,34.4,35.2,55.0,8.0
100.05,243.67,4.10,2000,1016,0,613,549.1,34.1,75.8,33.8,34.7,62.7,8.0
101.05,240.56,4.16,2020,1016,0,613,549.1,38.6,80.2,32.2,34.1,66.4,8.0
102.05,242.94,4.12,2040,1016,0,609,549.2,42.6,79.9,29.3,33.5,65.6,8.0
103.05,240.38,4.16,2061,1016,0,609,549.2,45.5,75.0,25.8,32.9,60.3,8.0
104.05,241.94,4.13,2081,1016,0,605,549.2,47.1,66.3,22.5,32.4,51.3,8.0
105.05,240.83,4.15,2101,1016,0,601,549.2,47.7,55.2,20.5,32.1,40.1,8.0
106.05,241.17,4.15,2121,1016,0,601,549.2,46.2,53.1,18.8,31.9,39.4,8.0
107.05,241.84,4.14,2141,1016,0,629,549.2,49.7,72.9,24.3,31.0,55.4,12.3
108.06,243.04,4.11,2161,1016,0,688,549.2,53.3,91.2,40.5,29.4,69.3,29.3
109.06,238.96,4.18,2181,1016,0,753,549.2,57.6,106.8,59.3,27.3,78.9,51.1
110.06,244.12,4.10,2201,1016,0,809,549.2,61.3,117.8,77.5,25.1,82.9,74.7
111.07,240.04,4.17,2221,1016,0,837,549.2,63.4,122.5,93.0,22.9,80.6,97.0
112.07,246.63,4.05,2241,1016,0,842,549.3,63.8,120.4,104.5,21.2,72.5,115.1
113.07,241.39,4.14,2261,1016,0,837,549.3,63.5,111.6,111.2,20.2,59.8,126.1
114.07,248.10,4.03,2281,1016,0,835,549.3,63.3,110.4,111.3,20.0,57.6,127.4
115.08,239.71,4.17,2301,1016,0,835,549.3,61.7,127.4,101.3,20.0,72.9,121.3
116.08,247.26,4.04,2321,1016,0,833,549.3,58.1,143.0,83.7,20.0,85.2,110.4
117.08,239.43,4.18,2341,1016,0,828,549.4,51.8,154.9,62.6,20.0,92.7,96.5
118.08,249.66,4.01,2361,1016,0,818,549.4,43.3,161.4,41.6,20.0,94.5,81.6
119.09,240.78,4.15,2381,1016,0,788,549.4,34.2,161.6,23.9,20.0,90.1,67.4
120.09,247.10,4.05,2401,1016,0,739,549.4,26.5,155.6,11.2,20.0,80.3,55.9
121.09,240.69,4.15,2421,1016,0,719,549.4,21.9,144.3,4.3,20.0,66.6,49.1
122.10,252.56,3.96,2441,1016,0,719,549.4,21.3,145.4,3.9,21.0,66.9,48.7
123.10,240.45,4.16,2461,1016,0,772,549.4,22.6,168.9,9.5,29.3,86.5,54.9
124.10,246.62,4.05,2481,1016,0,873,549.4,24.6,193.1,22.5,44.2,103.3,65.9
125.10,241.42,4.14,2502,1016,0,958,549.4,28.5,213.9,44.3,62.9,114.4,79.8
126.09,87.29,11.46,2521,1016,0,996,549.4,36.6,228.5,73.5,83.0,118.3,94.7
127.08,64.10,15.60,2541,1016,0,1019,549.8,50.3,235.1,104.8,102.0,114.6,108.8
128.10,60.01,16.66,2562,1016,0,1032,549.8,66.4,232.6,131.3,117.6,103.5,120.3
129.10,59.93,16.69,2582,1016,0,1032,549.8,77.9,221.4,146.4,126.6,87.2,127.0
130.12,63.60,15.72,2602,1016,0,1032,549.8,78.7,216.1,148.2,127.3,82.2,126.7
131.12,60.11,16.64,2622,1016,0,1032,549.8,72.7,212.9,144.6,121.7,90.1,117.0
132.13,62.54,15.99,2642,1016,0,1023,549.8,66.0,196.0,137.1,111.9,93.1,99.9
133.15,60.41,16.55,2663,1016,0,991,549.8,63.2,169.5,123.6,99.5,90.9,78.3
134.17,63.07,15.86,2683,1016,0,918,549.8,63.9,138.1,102.0,86.4,83.6,55.2
135.17,60.10,16.64,2703,1016,0,835,549.8,64.4,107.3,74.6,74.3,72.4,34.1
136.17,60.21,16.61,2723,1016,0,745,549.8,62.4,80.2,48.1,64.7,58.7,17.3
137.18,61.90,16.15,2743,1016,0,679,549.7,59.7,59.3,31.5,59.1,44.6,8.0
138.18,61.80,16.18,2763,1016,0,669,549.7,59.1,60.2,30.5,58.0,46.4,8.0
139.20,59.96,16.68,2784,1016,0,669,549.7,58.6,73.2,31.4,54.5,58.4,8.0
140.20,60.58,16.51,2804,1016,0,657,549.7,58.2,83.1,32.0,48.8,66.6,8.0
141.22,60.10,16.64,2824,1016,0,621,549.7,58.2,88.7,32.1,41.6,70.2,9.0
142.22,62.61,15.97,2844,1016,0,618,549.8,58.2,89.1,29.8,34.2,68.2,10.1
143.23,59.94,16.68,2864,1016,0,612,549.8,57.5,84.2,25.5,27.2,61.1,11.2
144.25,60.45,16.54,2885,1016,0,588,549.8,56.0,74.8,20.7,21.7,49.8,12.0
145.25,59.93,16.69,2905,1016,0,584,549.8,54.9,62.4,17.8,18.8,36.3,12.5
146.25,61.51,16.26,2925,1016,0,605,549.8,59.2,68.6,16.2,22.4,42.1,15.1
